avg_latency,std_latency,p95_latency,p99_latency,failure_rate,timeout_rate,avg_retries,request_velocity,latency_trend,jitter,payload_trend,throughput_bytes_per_sec,time_since_success,total_requests,label
44.49,5.54,69.65,82.51,0.0001,0.0,0.04,4.7,-0.19,4.09,0.16,205668,1.1,7414,stable
711.78,121.26,2531.97,3042.4,0.2403,0.1821,3.22,0.52,13.87,72.97,2.38,16162,247.5,3972,critical
59.46,4.72,91.17,105.25,0.0,0.0,0.17,4.5,-0.44,4.48,-0.03,190144,3.3,23968,stable
60.0,8.29,96.69,124.63,0.0032,0.0021,1.17,2.92,1.1,6.15,0.32,107221,8.7,19800,degrading
29.0,6.02,43.3,56.87,0.0,0.0,0.27,4.17,-0.35,4.35,0.01,121453,0.6,30843,stable
20.27,7.48,28.59,35.46,0.0,0.0,0.15,4.5,-0.49,4.49,0.08,237186,0.7,22533,stable
1273.34,123.55,3642.37,7454.56,0.2332,0.1803,8.55,0.3,19.5,117.94,1.73,18378,405.5,4008,critical
398.25,71.74,911.14,1458.64,0.0555,0.0322,1.26,0.75,4.73,25.64,1.75,63893,34.5,8055,congested
39.59,6.67,60.51,69.29,0.0,0.0,0.17,4.49,-0.17,3.67,0.28,360805,0.8,29403,stable
34.43,3.12,46.06,56.99,0.0,0.0,0.01,4.78,0.18,2.06,0.18,416982,1.5,2765,stable
1162.65,222.48,4165.32,4688.33,0.2248,0.1603,8.61,0.51,11.9,118.34,2.72,24013,381.9,3627,critical
58.29,2.58,86.18,116.55,0.0,0.0,0.1,3.96,-0.14,5.0,0.21,489996,3.5,20907,stable
244.81,69.93,542.09,918.89,0.0669,0.0374,4.25,1.33,6.88,19.65,1.78,43806,84.0,10072,congested
30.54,3.77,48.63,60.81,0.0,0.0,0.17,4.9,-0.36,3.82,0.08,217590,4.3,23368,stable
60.0,3.72,94.41,106.92,0.0,0.0,0.06,4.2,-0.16,2.76,0.08,156030,0.9,42560,stable
60.0,15.95,114.36,121.98,0.0019,0.0015,1.03,2.61,2.35,14.32,0.55,111415,18.1,20544,degrading
400.73,37.41,967.43,1406.45,0.0743,0.0376,4.81,1.59,4.09,34.45,1.18,34140,67.2,10077,congested
29.4,3.15,44.37,49.26,0.0,0.0,0.08,4.38,0.43,1.21,0.01,213987,3.2,32907,stable
444.94,56.81,1079.3,1948.36,0.0543,0.0434,1.41,1.17,8.65,38.92,1.63,48023,58.2,12189,congested
424.66,42.08,945.64,1694.41,0.0633,0.0492,4.86,2.48,4.94,26.97,0.51,76921,111.8,1827,congested
36.02,7.35,53.24,69.24,0.0001,0.0,0.16,4.16,0.27,3.07,0.14,389498,0.1,28961,stable
88.13,18.81,163.17,180.13,0.0045,0.0029,0.32,3.24,1.55,11.59,0.48,52649,14.5,23748,degrading
38.65,4.8,50.85,62.41,0.0,0.0,0.07,4.47,0.15,4.3,0.07,129234,1.4,49020,stable
500.0,51.38,1081.9,1784.28,0.0617,0.0455,3.94,2.26,6.81,37.82,0.9,24144,59.6,8427,congested
120.0,13.01,214.11,307.45,0.0046,0.0014,0.31,3.37,2.16,5.31,0.3,53951,16.5,5541,degrading
85.0,10.71,144.6,199.65,0.002,0.0016,0.44,3.24,2.25,10.7,0.77,145512,17.9,9144,degrading
296.17,24.1,656.99,1309.8,0.0654,0.0353,1.97,2.38,4.23,21.91,0.52,11377,62.9,2826,congested
82.5,19.25,127.73,179.65,0.0019,0.0012,1.03,2.83,1.65,6.83,0.69,145668,9.4,23567,degrading
31.66,6.06,41.77,58.21,0.0,0.0,0.29,3.61,-0.3,2.39,0.15,317920,0.6,15196,stable
120.0,15.69,201.4,262.79,0.0041,0.0011,0.9,2.79,1.83,11.51,0.51,91328,10.2,23443,degrading
48.56,4.35,64.85,92.86,0.0001,0.0001,0.08,4.9,-0.04,1.51,0.07,150821,2.5,28502,stable
47.15,4.08,69.25,83.62,0.0,0.0,0.03,3.6,-0.35,4.06,0.19,326007,2.3,44527,stable
95.7,9.55,147.99,242.42,0.0014,0.0011,0.97,2.93,1.45,5.59,0.62,67535,11.9,4668,degrading
28.66,3.38,45.62,46.83,0.0,0.0,0.13,4.23,-0.44,2.94,0.07,385017,3.2,10075,stable
65.64,13.11,126.96,138.93,0.0079,0.0034,1.1,2.57,1.73,10.65,0.61,61685,14.9,4806,degrading
120.0,19.87,202.14,245.27,0.0022,0.0017,0.57,3.22,1.67,10.45,0.56,95057,12.0,8338,degrading
60.0,4.05,83.63,106.35,0.0,0.0,0.17,3.71,0.21,4.25,0.27,344846,2.6,31339,stable
77.04,18.34,138.66,161.16,0.0022,0.0009,0.58,2.77,1.21,14.7,0.22,99686,14.4,19992,degrading
120.0,11.99,223.04,262.74,0.0013,0.001,0.47,2.57,2.18,7.74,0.32,98066,14.3,18767,degrading
1151.25,141.04,3264.43,4803.19,0.2097,0.1678,3.73,0.22,10.36,110.59,1.98,9647,393.8,2238,critical
973.06,50.8,3517.16,5058.58,0.2038,0.156,8.29,1.16,14.18,83.75,2.86,6185,442.5,1643,critical
60.0,12.76,119.58,136.73,0.0024,0.0009,0.68,2.53,0.56,10.33,0.7,109887,11.5,26522,degrading
35.45,8.0,46.44,62.32,0.0,0.0,0.18,4.72,-0.05,2.52,0.29,146701,2.4,21015,stable
74.96,12.37,115.71,155.72,0.0045,0.002,0.3,2.6,1.57,13.52,0.34,137895,6.7,2641,degrading
25.16,6.91,36.85,49.18,0.0,0.0,0.3,4.31,0.16,2.12,0.03,234184,3.5,24211,stable
25.98,6.55,38.94,50.29,0.0,0.0,0.27,4.69,0.29,1.36,0.25,338560,2.4,45745,stable
37.79,7.22,50.77,67.95,0.0,0.0,0.06,4.19,-0.04,4.24,0.23,403707,1.8,4529,stable
55.76,5.28,78.85,111.0,0.0,0.0,0.27,4.63,0.3,1.07,0.29,390668,1.5,41640,stable
1107.55,161.86,4377.77,5335.09,0.2513,0.172,3.95,0.33,13.3,57.47,1.67,11246,274.0,4645,critical
41.03,7.81,64.77,73.54,0.0,0.0,0.24,4.24,0.08,4.31,0.03,120071,2.4,45772,stable
52.51,6.92,79.45,104.63,0.0,0.0,0.06,4.26,0.18,1.99,0.14,203031,1.7,22634,stable
51.2,3.87,74.54,93.11,0.0,0.0,0.08,4.74,-0.14,2.12,0.12,156369,4.0,4652,stable
39.1,3.42,62.52,71.73,0.0,0.0,0.26,4.69,-0.37,4.09,0.13,287643,2.9,1395,stable
32.87,7.77,46.34,57.61,0.0,0.0,0.21,4.04,-0.28,4.66,0.07,361482,0.2,21289,stable
397.14,32.85,1124.58,1458.3,0.0605,0.0379,2.57,1.55,9.04,28.84,0.72,45458,23.8,5232,congested
49.74,4.12,66.79,95.01,0.0,0.0,0.24,4.84,-0.12,2.18,0.17,381053,3.9,41697,stable
342.59,21.55,822.82,1136.12,0.0609,0.0373,3.68,2.42,5.1,22.02,1.94,14212,104.0,13655,congested
35.72,3.64,47.84,68.85,0.0001,0.0,0.29,4.69,-0.46,2.33,0.09,225807,3.5,41487,stable
30.32,5.74,41.16,53.42,0.0001,0.0,0.22,4.73,0.4,1.39,-0.06,418559,1.3,3868,stable
60.0,17.71,115.31,158.83,0.0014,0.0011,0.95,3.32,2.28,9.8,0.61,143208,11.3,28576,degrading
120.0,17.13,186.9,310.46,0.0021,0.0011,0.49,3.21,2.06,7.18,0.57,50500,7.7,21968,degrading
233.34,27.93,466.99,940.74,0.0579,0.0376,4.15,2.35,6.69,19.86,1.48,15006,36.6,7113,congested
664.95,80.46,1925.49,3370.28,0.2295,0.167,5.41,0.65,9.48,47.98,0.86,6017,505.4,1757,critical
54.09,3.47,72.79,93.47,0.0,0.0,0.09,3.9,-0.38,3.39,-0.06,406403,4.6,46661,stable
60.0,17.24,95.72,140.84,0.0015,0.0012,0.43,3.12,0.61,8.87,0.45,135488,7.7,19484,degrading
32.18,5.7,44.19,64.21,0.0,0.0,0.2,4.6,-0.27,2.49,-0.04,302306,2.3,49860,stable
20.49,3.15,27.26,40.24,0.0,0.0,0.23,4.37,-0.31,1.75,-0.03,122800,2.9,42177,stable
329.12,35.34,980.39,1167.19,0.058,0.0449,3.98,1.65,7.79,36.8,1.72,72619,64.9,5943,congested
426.2,20.1,1000.42,1479.67,0.0611,0.0371,4.06,1.82,9.16,29.81,1.35,77856,57.2,11288,congested
94.48,18.21,146.46,235.03,0.0028,0.0012,0.69,2.53,2.24,5.13,0.69,76639,6.8,12802,degrading
48.16,4.68,70.95,91.83,0.0001,0.0,0.18,4.61,-0.15,2.86,-0.07,338836,1.8,22242,stable
75.07,19.66,130.53,207.38,0.0016,0.0013,0.33,2.6,1.45,14.67,0.41,95292,17.2,27598,degrading
26.72,3.78,36.61,43.21,0.0,0.0,0.14,4.42,-0.33,4.96,-0.01,477092,3.2,30779,stable
44.65,3.5,67.36,88.85,0.0,0.0,0.13,4.38,0.42,3.07,0.0,252402,1.9,36021,stable
40.26,6.28,59.68,69.39,0.0,0.0,0.14,4.05,-0.38,2.68,0.2,128403,0.4,18383,stable
71.29,11.48,124.69,173.09,0.003,0.002,0.35,3.02,2.68,7.38,0.74,64153,9.5,9299,degrading
217.18,36.46,607.01,922.91,0.065,0.0368,2.79,1.88,3.34,27.38,1.3,43884,84.2,2170,congested
111.49,8.19,177.41,240.52,0.0023,0.0012,0.45,2.62,0.72,12.32,0.34,57296,11.3,21406,degrading
68.23,11.66,113.53,174.49,0.0016,0.0007,0.51,2.69,2.24,14.65,0.31,61542,10.8,12117,degrading
33.95,7.42,44.66,62.44,0.0,0.0,0.08,3.8,-0.5,4.85,0.08,105227,0.0,15129,stable
266.49,39.91,713.42,935.77,0.0611,0.0352,3.08,0.56,6.19,46.59,1.25,13031,46.4,826,congested
48.35,4.78,64.99,84.27,0.0,0.0,0.01,3.85,-0.1,2.8,0.27,324001,0.2,20985,stable
350.9,59.06,723.29,1536.86,0.0629,0.0399,2.26,0.78,5.14,34.23,1.12,59272,103.9,3239,congested
108.85,12.93,198.93,265.51,0.0017,0.0013,1.19,3.18,2.78,13.38,0.67,53290,11.1,6454,degrading
60.0,6.77,80.94,98.5,0.0,0.0,0.03,3.57,-0.24,1.54,0.0,254023,4.7,30908,stable
415.09,38.26,851.1,1247.66,0.06,0.048,3.35,2.42,4.99,47.52,1.59,26371,86.3,5556,congested
90.28,14.52,158.52,187.08,0.001,0.0008,0.68,2.93,1.09,12.64,0.43,116940,14.6,18339,degrading
120.0,11.79,212.88,240.96,0.0027,0.0013,0.59,3.14,2.21,14.84,0.53,125256,10.7,5545,degrading
43.12,5.28,58.51,78.34,0.0,0.0,0.23,4.95,-0.14,2.74,0.07,214119,4.0,31268,stable
1027.3,85.29,2914.48,4743.68,0.2102,0.1622,6.0,0.45,6.06,127.34,2.37,9220,200.7,4524,critical
54.63,5.87,80.48,89.89,0.0,0.0,0.23,4.27,-0.25,2.86,0.13,499948,3.2,35018,stable
37.45,4.43,49.79,74.53,0.0,0.0,0.19,4.99,-0.27,2.12,0.29,171510,2.6,12742,stable
57.18,2.57,81.26,96.04,0.0,0.0,0.28,4.93,0.16,1.02,0.04,305256,2.5,30563,stable
988.41,213.98,2941.04,5457.73,0.2358,0.1609,3.69,0.73,12.93,94.97,1.22,16751,99.1,116,critical
271.39,40.24,773.45,1093.92,0.0594,0.0389,4.17,1.07,6.59,41.45,0.91,35337,26.0,2044,congested
104.87,19.0,181.58,263.62,0.0071,0.0014,0.92,3.31,2.39,11.33,0.2,101567,13.9,28839,degrading
1179.39,184.74,3815.37,5369.22,0.232,0.1856,8.06,0.16,18.17,145.09,1.53,16628,595.6,2260,critical
346.39,67.97,793.61,1292.57,0.0605,0.0343,2.31,1.53,3.91,20.39,1.03,44281,90.1,6904,congested
66.71,11.06,131.73,160.6,0.0028,0.0018,1.11,3.27,1.34,10.51,0.3,145612,15.6,11541,degrading
68.54,17.82,103.96,161.43,0.0033,0.001,0.42,3.12,1.12,7.82,0.32,74380,8.4,21087,degrading
34.12,6.47,51.11,58.28,0.0,0.0,0.05,3.82,-0.13,4.05,0.2,265989,0.6,14753,stable
104.91,14.98,201.96,262.26,0.0023,0.0014,0.32,3.37,2.17,14.69,0.74,110347,12.5,26569,degrading
80.54,15.57,122.73,202.13,0.0046,0.0037,0.74,2.97,2.07,9.84,0.41,63952,14.5,22593,degrading
28.09,5.27,43.3,48.44,0.0,0.0,0.03,4.8,-0.12,4.52,0.19,141668,4.2,34426,stable
108.98,15.29,174.58,239.9,0.0025,0.0018,0.96,2.79,2.02,14.06,0.45,108704,18.9,10547,degrading
120.0,11.7,180.84,275.09,0.0019,0.0015,0.72,2.91,2.68,9.75,0.43,85425,9.1,12564,degrading
120.0,16.53,227.7,307.04,0.0028,0.0023,0.85,3.39,2.41,7.03,0.22,50988,13.8,15887,degrading
1716.98,85.59,6560.63,10092.86,0.2214,0.1677,5.07,0.59,19.02,149.1,1.98,8985,297.3,4377,critical
39.08,5.74,58.61,71.06,0.0,0.0,0.24,4.49,0.02,1.67,0.29,250016,0.5,25196,stable
39.01,3.01,58.47,71.01,0.0,0.0,0.21,4.89,0.31,4.31,0.13,222423,1.1,17032,stable
94.47,12.95,156.48,190.07,0.0031,0.0024,0.63,2.52,2.69,6.49,0.55,138313,8.3,12654,degrading
91.39,9.27,137.43,201.51,0.0023,0.0012,0.63,3.09,1.51,8.37,0.64,79667,10.7,11331,degrading
50.96,2.51,71.43,91.91,0.0,0.0,0.05,3.6,0.39,1.51,0.15,350298,1.0,49922,stable
1154.59,152.02,3478.71,6000.2,0.2944,0.1556,8.61,0.46,11.23,65.59,1.07,22613,545.4,2515,critical
35.56,3.37,49.05,57.63,0.0,0.0,0.23,3.78,-0.39,1.3,0.05,299200,3.1,47943,stable
480.77,73.4,1191.19,1927.25,0.0602,0.0316,2.23,0.76,8.86,26.37,1.12,48301,104.2,2190,congested
72.1,14.49,119.8,192.47,0.0017,0.0008,1.14,2.56,1.22,10.63,0.72,107702,8.2,25841,degrading
46.56,4.21,65.04,83.09,0.0,0.0,0.01,4.43,-0.26,1.69,0.29,216745,4.5,9732,stable
50.42,6.36,72.56,85.3,0.0,0.0,0.18,4.04,0.44,2.92,-0.09,239344,0.7,18805,stable
466.48,67.4,1014.52,1583.14,0.0655,0.0437,1.92,0.91,6.92,49.03,1.85,51502,101.2,7365,congested
95.49,16.8,165.25,207.06,0.0019,0.0016,0.73,3.38,2.85,8.83,0.3,100526,9.1,13082,degrading
608.17,178.97,2404.24,2880.17,0.2273,0.1517,3.35,0.15,5.96,85.97,2.85,17117,251.5,1200,critical
112.01,16.44,182.49,250.38,0.0021,0.0015,1.16,2.72,2.45,8.65,0.7,142310,7.8,14998,degrading
112.33,11.04,194.9,311.03,0.004,0.0015,0.95,2.85,2.34,5.86,0.32,137772,9.4,6575,degrading
60.0,11.36,109.7,133.59,0.0037,0.001,1.11,2.55,1.79,7.25,0.43,99365,11.8,22568,degrading
82.4,19.25,155.09,210.03,0.0028,0.0022,0.66,3.15,0.97,13.35,0.6,85226,15.8,8740,degrading
334.77,50.85,842.85,1415.84,0.0542,0.0329,3.49,2.14,4.22,30.81,1.07,79957,91.2,1327,congested
47.59,3.23,67.16,88.21,0.0,0.0,0.17,3.74,-0.19,4.6,0.18,494389,3.8,47156,stable
120.0,12.39,184.31,298.07,0.0036,0.0028,0.57,3.37,1.51,10.15,0.31,105268,9.0,24962,degrading
83.73,8.87,163.03,189.85,0.0016,0.0013,0.36,3.24,1.74,8.16,0.8,137607,5.6,18012,degrading
35.33,3.94,52.76,68.56,0.0001,0.0,0.18,4.6,0.07,1.27,-0.05,338589,1.4,4902,stable
40.94,6.74,59.35,67.08,0.0001,0.0,0.15,4.2,0.43,4.08,0.23,153239,4.0,22215,stable
107.4,8.86,181.95,277.7,0.0038,0.0031,1.11,3.24,0.82,12.04,0.35,68880,16.4,28812,degrading
54.95,7.42,86.66,98.82,0.0,0.0,0.09,3.89,0.34,1.77,0.22,417584,2.5,12458,stable
59.67,6.26,93.11,118.77,0.0,0.0,0.2,4.67,-0.32,2.22,0.08,245936,4.9,41912,stable
31.87,4.38,42.49,53.25,0.0,0.0,0.12,4.33,0.21,1.23,0.04,391901,3.4,3614,stable
240.01,35.31,697.58,941.38,0.0634,0.0335,3.06,2.37,9.3,21.42,1.63,62666,36.5,4543,congested
297.27,74.37,749.75,1255.84,0.0584,0.0371,3.99,0.66,3.17,48.24,0.78,69110,115.3,11304,congested
44.12,7.21,63.08,87.65,0.0,0.0,0.09,4.67,-0.06,2.94,0.21,252945,2.2,19433,stable
80.78,17.45,130.62,207.59,0.0017,0.0013,0.55,3.27,2.46,9.83,0.43,113742,13.4,20184,degrading
104.64,18.37,203.64,268.92,0.0056,0.0008,0.32,2.52,2.55,12.39,0.52,74886,6.3,5345,degrading
43.85,3.14,65.9,82.65,0.0001,0.0,0.05,3.53,-0.16,4.46,-0.08,271571,3.8,47705,stable
53.43,2.3,82.69,92.45,0.0,0.0,0.13,3.77,-0.13,3.7,0.04,236535,5.0,36221,stable
75.47,16.87,121.39,195.23,0.0028,0.0017,0.85,2.97,2.82,12.41,0.67,66439,9.0,15637,degrading
26.84,7.59,36.23,44.5,0.0001,0.0,0.2,4.18,-0.17,2.21,0.06,109235,3.3,42410,stable
60.0,10.13,114.44,148.42,0.0023,0.0018,0.84,3.46,2.38,11.55,0.31,147707,12.8,28339,degrading
120.0,12.17,203.96,291.3,0.0014,0.0009,0.73,3.11,1.65,8.2,0.67,135465,9.2,24495,degrading
1544.58,61.15,4814.22,7613.05,0.2568,0.2031,5.64,0.85,7.83,120.24,1.86,8853,433.8,2087,critical
29.21,7.08,45.14,49.32,0.0001,0.0,0.27,4.48,-0.14,2.96,0.23,219862,3.1,13850,stable
36.3,4.54,52.74,71.8,0.0,0.0,0.26,4.73,-0.38,4.39,0.07,201478,4.3,22169,stable
282.75,23.85,752.13,1185.78,0.0576,0.032,1.61,1.65,9.47,44.8,1.78,31204,90.1,11723,congested
34.18,2.84,44.54,62.12,0.0001,0.0,0.15,3.71,0.48,2.0,-0.07,365258,3.0,21342,stable
38.33,4.86,59.41,66.36,0.0,0.0,0.18,4.54,0.05,2.52,-0.05,198994,2.1,46281,stable
284.22,50.68,659.72,996.06,0.0578,0.0382,4.67,0.85,4.56,40.59,1.9,17331,72.2,13725,congested
1589.48,221.91,5489.82,8962.4,0.2275,0.1654,5.95,0.86,6.31,133.44,2.82,26288,60.4,4019,critical
388.19,71.17,1077.67,1454.99,0.0689,0.0379,3.02,2.02,8.02,34.69,0.91,30597,94.1,185,congested
72.2,13.02,124.97,159.79,0.0032,0.0017,0.69,3.36,2.91,8.77,0.33,141451,7.2,9272,degrading
31.78,5.87,48.13,54.57,0.0,0.0,0.07,3.67,0.03,4.43,0.19,186243,2.0,25886,stable
120.0,13.33,239.53,320.71,0.0012,0.001,0.67,2.97,0.96,14.37,0.44,134272,8.6,3351,degrading
233.87,30.18,625.21,820.73,0.0585,0.0352,2.19,1.37,3.3,41.89,0.62,61591,46.8,6952,congested
240.17,37.03,596.37,902.99,0.063,0.0374,1.39,1.6,7.33,18.36,1.39,75917,29.7,10301,congested
97.46,10.48,175.61,262.61,0.0027,0.0018,0.76,2.59,2.9,8.47,0.35,91174,11.2,14026,degrading
65.86,19.08,111.13,157.73,0.0016,0.0007,0.43,2.52,1.98,5.13,0.47,135919,6.5,11272,degrading
646.89,161.01,2535.37,2782.04,0.2029,0.1606,7.19,0.45,9.1,41.96,1.6,2012,250.3,2379,critical
37.16,7.72,57.79,61.62,0.0,0.0,0.2,3.73,-0.37,1.82,0.21,218150,0.1,47264,stable
239.94,63.23,601.09,872.76,0.0551,0.0419,1.92,0.84,8.78,34.35,1.79,74237,27.0,14549,congested
30.89,7.92,43.45,50.12,0.0001,0.0,0.06,4.45,-0.46,4.97,-0.09,120062,1.6,41749,stable
32.25,2.77,43.77,51.61,0.0,0.0,0.12,3.89,0.03,2.12,0.25,474855,4.2,20529,stable
1092.92,85.3,3380.69,4375.83,0.2141,0.1573,8.71,0.34,10.82,69.1,2.9,2132,100.7,4781,critical
319.0,72.7,686.74,1205.16,0.0629,0.0323,2.02,2.46,7.21,28.63,1.28,36814,80.2,107,congested
711.86,87.65,2233.66,3371.07,0.21,0.1527,6.69,0.52,6.06,136.14,1.08,6407,303.1,709,critical
120.0,16.61,213.74,330.02,0.0023,0.0018,0.65,3.06,2.83,9.86,0.22,108091,9.9,23454,degrading
54.6,2.16,78.61,88.62,0.0,0.0,0.23,4.62,0.4,1.03,-0.01,430874,3.4,44825,stable
75.6,18.5,122.25,193.8,0.003,0.0016,1.06,2.95,1.1,13.03,0.53,69763,19.2,28468,degrading
69.46,11.91,120.16,163.93,0.0039,0.0015,0.53,3.1,2.15,7.58,0.4,136206,17.2,5921,degrading
753.01,271.3,2341.11,4211.32,0.2018,0.1614,4.86,0.78,19.95,137.39,1.68,26963,306.8,555,critical
311.64,36.06,875.39,1317.79,0.0567,0.0382,3.47,2.34,5.93,41.96,1.7,10723,111.5,2912,congested
98.92,9.26,157.55,244.19,0.0015,0.0012,1.15,2.58,0.6,6.24,0.67,142276,17.3,21676,degrading
32.78,7.05,49.27,61.59,0.0001,0.0,0.11,4.83,-0.04,3.06,0.03,210667,3.3,6872,stable
942.98,117.87,3486.77,5186.81,0.2635,0.1622,3.14,0.71,19.48,97.8,2.15,27998,369.3,1229,critical
962.23,249.31,2802.11,4297.01,0.2149,0.1669,7.37,0.87,5.82,128.34,1.33,3662,417.0,1097,critical
352.43,49.56,857.06,1519.65,0.0713,0.0389,3.4,0.94,7.74,31.28,1.6,69927,53.5,14079,congested
86.0,17.46,170.24,203.65,0.0021,0.0017,0.97,2.83,1.99,12.16,0.65,89567,18.5,28282,degrading
26.46,5.33,35.15,45.54,0.0,0.0,0.03,3.91,-0.28,4.5,0.29,426669,3.6,29842,stable
500.0,50.76,1265.53,2117.15,0.0509,0.0367,1.53,1.91,4.04,42.61,1.83,26877,46.0,1934,congested
45.75,3.81,63.03,76.76,0.0,0.0,0.13,4.44,-0.01,2.61,0.3,452125,3.1,28899,stable
37.27,6.51,58.47,72.24,0.0001,0.0,0.1,4.71,0.38,2.21,0.24,442892,3.8,8188,stable
708.02,127.89,2023.85,4082.31,0.2328,0.1862,4.64,0.42,15.33,125.44,2.07,9388,369.5,1103,critical
330.54,72.23,666.58,1472.5,0.0597,0.0414,4.33,1.32,5.77,27.49,1.08,63081,26.2,12022,congested
60.0,3.93,92.67,109.2,0.0001,0.0,0.14,4.77,-0.17,2.36,0.26,270326,3.9,12595,stable
71.65,15.56,129.65,148.5,0.0029,0.0007,0.76,3.37,2.87,14.22,0.35,97288,13.0,25639,degrading
120.0,10.08,193.57,249.37,0.0077,0.0031,1.14,3.43,1.49,9.18,0.69,99503,17.0,1565,degrading
111.08,9.35,214.42,283.35,0.0053,0.0008,0.64,2.87,1.23,5.79,0.66,92045,17.2,25153,degrading
37.74,5.88,58.47,61.14,0.0,0.0,0.24,3.7,-0.27,2.81,0.11,405444,2.2,39703,stable
26.17,2.37,34.77,46.03,0.0,0.0,0.23,4.24,-0.4,4.67,0.17,198820,3.1,20846,stable
47.82,2.88,67.08,93.05,0.0,0.0,0.15,3.72,0.12,2.09,0.1,132908,2.3,16016,stable
42.98,4.22,68.36,84.94,0.0,0.0,0.14,4.5,-0.39,1.54,0.05,203504,3.1,19009,stable
33.84,6.42,50.68,64.67,0.0,0.0,0.16,4.98,0.39,3.71,0.0,204763,4.4,29681,stable
109.78,10.46,183.01,232.24,0.0049,0.0014,0.98,2.61,1.37,8.08,0.42,82952,16.5,5565,degrading
22.08,5.37,30.43,38.87,0.0,0.0,0.06,4.64,0.18,2.06,0.17,469749,4.6,36261,stable
51.77,4.88,80.82,90.27,0.0,0.0,0.02,4.92,0.14,4.51,0.17,242793,2.6,34111,stable
120.0,18.74,212.46,248.82,0.003,0.0021,0.41,3.37,1.91,6.76,0.29,94542,17.2,24252,degrading
74.52,12.56,139.99,164.53,0.0015,0.0012,0.7,3.35,1.54,8.02,0.28,117483,6.3,2304,degrading
42.83,2.54,67.85,72.95,0.0001,0.0,0.24,3.73,-0.13,2.49,-0.04,419381,3.5,10328,stable
60.0,3.97,90.97,111.45,0.0,0.0,0.18,3.88,-0.3,2.36,0.09,218426,2.6,9103,stable
